shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,column1,ship_year,ship_month,ship_week,ship_dow,distance_km,leadtime_expected_days,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2442028216,ZA,JNB,CD,FBM,2025-06-22,2025-06-29,17254.0,KG,107.28,M3,20 TONNER,ROAD,7,7,0,False,2025,6,25,Sunday,2115,6,352.5,11.354545454545454,14.1,5.4,0.0,False,22.21818181818182,25.1,15.6,0.0,False
AF2442028217,ZA,JNB,CD,FBM,2025-06-22,2025-06-29,15508.0,KG,26.51,M3,20 TONNER,ROAD,7,7,0,False,2025,6,25,Sunday,2115,6,352.5,11.354545454545454,14.1,5.4,0.0,False,22.21818181818182,25.1,15.6,0.0,False
AF2442028218,ZA,JNB,CD,FBM,2025-06-22,2025-06-29,5385.0,KG,4.32,M3,8 TONNER,ROAD,7,7,0,False,2025,6,25,Sunday,2115,6,352.5,11.354545454545454,14.1,5.4,0.0,False,22.21818181818182,25.1,15.6,0.0,False
AF2442028219,ZA,JNB,ZW,NGE,2025-06-23,2025-06-25,6864.0,KG,26.91,M3,8 TONNER,ROAD,2,2,0,False,2025,6,26,Monday,794,2,397.0,15.436363636363636,18.4,8.5,0.0,False,24.85454545454546,27.0,22.0,1.5,True
AF2442028220,ZA,JNB,ZW,HRE,2025-06-23,2025-06-27,1339.0,KG,11.27,M3,8 TONNER,ROAD,4,4,0,False,2025,6,26,Monday,1123,3,374.3333333333333,15.436363636363636,18.4,8.5,0.0,False,21.318181818181817,23.2,16.9,0.0,False
AF2442028221,ZA,JNB,ZW,HRE,2025-06-23,2025-06-27,863.0,KG,1.01,M3,8 TONNER,ROAD,4,4,0,False,2025,6,26,Monday,1123,3,374.3333333333333,15.436363636363636,18.4,8.5,0.0,False,21.318181818181817,23.2,16.9,0.0,False
AF2442028222,ZA,JNB,ZW,HRE,2025-06-26,2025-06-30,202.0,KG,0.69,M3,8 TONNER,ROAD,4,4,0,False,2025,6,26,Thursday,1123,3,374.3333333333333,13.445454545454544,16.5,8.4,0.0,False,17.05454545454546,18.6,13.7,0.8,True
AF2442028224,ZA,JNB,ZW,BBG,2025-06-26,2025-06-27,95.0,KG,1.55,M3,8 TONNER,ROAD,1,1,0,False,2025,6,26,Thursday,540,1,540.0,13.445454545454544,16.5,8.4,0.0,False,27.8,28.6,27.1,0.0,False
AF2442028225,ZA,JNB,ZM,KIW,2025-06-26,2025-07-02,1867.0,KG,4.96,M3,8 TONNER,ROAD,6,6,0,False,2025,6,26,Thursday,1930,5,386.0,13.445454545454544,16.5,8.4,0.0,False,21.636363636363633,24.7,13.9,0.0,False
AF2442028227,ZA,JNB,ZM,KIW,2025-06-26,2025-07-02,1401.0,KG,1.22,M3,8 TONNER,ROAD,6,6,0,False,2025,6,26,Thursday,1930,5,386.0,13.445454545454544,16.5,8.4,0.0,False,21.636363636363633,24.7,13.9,0.0,False
AF2442028240,ZA,JNB,ZM,KIW,2025-04-05,2025-04-14,591.0,KG,0.0,M3,15 TONNER,ROAD,9,6,3,False,2025,4,14,Saturday,1930,5,386.0,14.763636363636364,16.1,13.7,8.800000000000002,True,24.072727272727267,26.3,19.2,0.2,True
AF2442028244,ZA,JNB,ZM,KIW,2025-06-28,2025-07-04,2775.0,KG,9.95,M3,4 TONNER,ROAD,6,6,0,False,2025,6,26,Saturday,1930,5,386.0,8.772727272727273,12.1,0.2,0.0,False,22.654545454545453,25.3,15.6,0.0,False
AF2442028244,ZA,JNB,ZM,KIW,2025-06-28,2025-07-04,3334.0,KG,3.22,M3,4 TONNER,ROAD,6,6,0,False,2025,6,26,Saturday,1930,5,386.0,8.772727272727273,12.1,0.2,0.0,False,22.654545454545453,25.3,15.6,0.0,False
AF2442028244,ZA,JNB,ZM,KIW,2025-06-30,2025-07-06,4426.0,KG,20.89,M3,4 TONNER,ROAD,6,6,0,False,2025,6,27,Monday,1930,5,386.0,11.88181818181818,14.5,6.0,0.0,False,23.1,25.6,15.8,0.0,False
AF2442028244,ZA,JNB,ZM,KIW,2025-06-30,2025-07-06,12.0,KG,0.01,M3,4 TONNER,ROAD,6,6,0,False,2025,6,27,Monday,1930,5,386.0,11.88181818181818,14.5,6.0,0.0,False,23.1,25.6,15.8,0.0,False
AF2442028245,ZA,JNB,MZ,TET,2025-06-28,2025-07-03,1545.0,KG,16.36,M3,8 TONNER,ROAD,5,5,0,False,2025,6,26,Saturday,1501,4,375.25,8.772727272727273,12.1,0.2,0.0,False,26.29090909090909,29.2,20.3,0.0,False
AF2442028245,ZA,JNB,TZ,DAR,2025-06-30,2025-07-10,1064.0,KG,0.91,M3,4 TONNER,ROAD,10,10,0,False,2025,6,27,Monday,3533,8,441.625,11.88181818181818,14.5,6.0,0.0,False,26.89090909090909,28.4,23.1,0.0,False
AF2442028246,ZA,JNB,TZ,DAR,2025-06-30,2025-07-10,2646.0,KG,4.63,M3,4 TONNER,ROAD,10,10,0,False,2025,6,27,Monday,3533,8,441.625,11.88181818181818,14.5,6.0,0.0,False,26.89090909090909,28.4,23.1,0.0,False
AF2442028247,ZA,JNB,ZW,HRE,2025-06-30,2025-07-04,787.0,KG,1.12,M3,4 TONNER,ROAD,4,4,0,False,2025,6,27,Monday,1123,3,374.3333333333333,11.88181818181818,14.5,6.0,0.0,False,19.963636363636365,22.3,13.9,0.0,False
AF2442028248,ZA,JNB,ZW,HRE,2025-06-30,2025-07-04,1617.0,KG,8.85,M3,4 TONNER,ROAD,4,4,0,False,2025,6,27,Monday,1123,3,374.3333333333333,11.88181818181818,14.5,6.0,0.0,False,19.963636363636365,22.3,13.9,0.0,False
AF2442028249,ZA,JNB,ZM,KIW,2025-02-17,2025-02-23,6539.94,KG,0.0,M3,15 TONNER,ROAD,6,6,0,False,2025,2,8,Monday,1930,5,386.0,15.890909090909092,16.7,14.2,9.4,True,25.0,28.0,20.7,0.1,True
AF2442028249,ZA,JNB,ZW,HRE,2025-06-30,2025-07-04,1.0,KG,0.25,M3,4 TONNER,ROAD,4,4,0,False,2025,6,27,Monday,1123,3,374.3333333333333,11.88181818181818,14.5,6.0,0.0,False,19.963636363636365,22.3,13.9,0.0,False
AF2442028250,ZA,JNB,ZW,HRE,2025-07-03,2025-07-07,1800.0,KG,2.33,M3,4 TONNER,ROAD,4,4,0,False,2025,7,27,Thursday,1123,3,374.3333333333333,14.47272727272727,16.8,9.7,0.0,False,20.690909090909088,23.6,14.5,0.0,False
AF2442028251,ZA,JNB,ZM,KIW,2025-07-04,2025-07-10,810.0,KG,4.06,M3,8 TONNER,ROAD,6,6,0,False,2025,7,27,Friday,1930,5,386.0,7.790909090909091,10.8,3.1,0.0,False,20.009090909090908,23.8,12.4,0.0,False
