shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,distance_km,leadtime_expected_days,ship_year,ship_month,ship_week,ship_dow,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2442027217,ZA,JNB,ZM,KIW,2025-02-14,2025-02-20,1594.0,KG,7.18,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,7,Friday,386.0,21.045454545454543,22.9,17.5,1.0,True,21.827272727272724,24.4,19.0,4.1,True
AF2442027225,ZA,JNB,ZW,HRE,2025-02-16,2025-02-20,1053.0,KG,6.15,M3,15 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Sunday,374.3333333333333,16.827272727272724,17.8,15.9,4.7,True,21.98181818181818,24.1,18.7,13.4,True
AF2442027226,ZA,JNB,ZW,HRE,2025-02-16,2025-02-20,965.0,KG,2.1,M3,15 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Sunday,374.3333333333333,16.827272727272724,17.8,15.9,4.7,True,21.98181818181818,24.1,18.7,13.4,True
AF2442027227,ZA,JNB,ZW,HRE,2025-02-16,2025-02-20,377.0,KG,0.44,M3,15 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Sunday,374.3333333333333,16.827272727272724,17.8,15.9,4.7,True,21.98181818181818,24.1,18.7,13.4,True
AF2442027228,ZA,JNB,CD,FBM,2025-02-16,2025-02-23,3031.0,KG,9.26,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,7,Sunday,352.5,16.827272727272724,17.8,15.9,4.7,True,25.1,28.4,20.3,0.0,False
AF2442027229,ZA,JNB,CD,FBM,2025-02-16,2025-02-23,5329.0,KG,0.0,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,7,Sunday,352.5,16.827272727272724,17.8,15.9,4.7,True,25.1,28.4,20.3,0.0,False
AF2442027240,ZA,JNB,TZ,DAR,2025-02-16,2025-02-26,1621.0,KG,6.76,M3,15 TONNER,ROAD,10,10,0,3533,8,2025,2,7,Sunday,441.625,16.827272727272724,17.8,15.9,4.7,True,31.072727272727267,32.8,28.9,0.6,True
AF2442027241,ZA,JNB,ZW,HRE,2025-02-16,2025-02-20,269.0,KG,2.77,M3,15 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Sunday,374.3333333333333,16.827272727272724,17.8,15.9,4.7,True,21.98181818181818,24.1,18.7,13.4,True
AF2442027241,ZA,JNB,ZW,HRE,2025-02-16,2025-02-20,269.0,KG,2.77,M3,15 TONNER,ROAD,4,4,0,1123,3,2025,2,7,Sunday,374.3333333333333,16.827272727272724,17.8,15.9,4.7,True,31.072727272727267,32.8,28.9,0.6,True
AF2442027241,ZA,JNB,TZ,DAR,2025-02-16,2025-02-26,2015.0,KG,2.59,M3,15 TONNER,ROAD,10,10,0,3533,8,2025,2,7,Sunday,441.625,16.827272727272724,17.8,15.9,4.7,True,21.98181818181818,24.1,18.7,13.4,True
AF2442027241,ZA,JNB,TZ,DAR,2025-02-16,2025-02-26,2015.0,KG,2.59,M3,15 TONNER,ROAD,10,10,0,3533,8,2025,2,7,Sunday,441.625,16.827272727272724,17.8,15.9,4.7,True,31.072727272727267,32.8,28.9,0.6,True
AF2442027242,ZA,JNB,ZM,KIW,2025-02-18,2025-02-24,6540.0,KG,19.91,M3,8 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Tuesday,386.0,17.009090909090908,18.3,15.5,11.7,True,26.027272727272727,28.6,21.8,1.6000000000000003,True
AF2442027244,ZA,JNB,ZM,KIW,2025-02-17,2025-02-23,591.0,KG,0.92,M3,1 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Monday,386.0,15.890909090909092,16.7,14.2,9.4,True,25.0,28.0,20.7,0.1,True
AF2442027252,ZA,JNB,ZM,KIW,2025-02-20,2025-02-26,1506.0,KG,5.96,M3,4 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Thursday,386.0,17.890909090909094,19.8,15.0,0.6,True,25.08181818181818,27.1,20.7,1.7,True
AF2442027254,ZA,JNB,ZM,KIW,2025-02-20,2025-02-26,122.0,KG,0.19,M3,4 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Thursday,386.0,17.890909090909094,19.8,15.0,0.6,True,25.08181818181818,27.1,20.7,1.7,True
AF2442027254,ZA,JNB,ZM,KIW,2025-02-20,2025-02-26,122.0,KG,0.19,M3,4 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Thursday,386.0,17.890909090909094,19.8,15.0,0.6,True,25.08181818181818,27.1,20.7,1.7,True
AF2442027254,ZA,JNB,ZM,KIW,2025-02-20,2025-02-26,43.0,KG,0.15,M3,4 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Thursday,386.0,17.890909090909094,19.8,15.0,0.6,True,25.08181818181818,27.1,20.7,1.7,True
AF2442027254,ZA,JNB,ZM,KIW,2025-02-20,2025-02-26,43.0,KG,0.15,M3,4 TONNER,ROAD,6,6,0,1930,5,2025,2,8,Thursday,386.0,17.890909090909094,19.8,15.0,0.6,True,25.08181818181818,27.1,20.7,1.7,True
AF2442027265,ZA,JNB,CD,FBM,2025-02-22,2025-03-01,6600.0,KG,12.38,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,8,Saturday,352.5,22.881818181818183,25.2,17.9,1.4,True,25.681818181818183,29.2,19.3,0.0,False
AF2442027266,ZA,JNB,CD,FBM,2025-02-22,2025-03-01,9909.0,KG,25.42,M3,15 TONNER,ROAD,7,7,0,2115,6,2025,2,8,Saturday,352.5,22.881818181818183,25.2,17.9,1.4,True,25.681818181818183,29.2,19.3,0.0,False
AF2442027276,ZA,JNB,MZ,TET,2025-02-22,2025-02-27,177.0,KG,2.451,M3,15 TONNER,ROAD,5,5,0,1501,4,2025,2,8,Saturday,375.25,22.881818181818183,25.2,17.9,1.4,True,27.86363636363636,30.0,27.0,1.6,True
